bdt_score,label,weight,process
0.41184837,0,1491.24,aa_ww
0.29088417,0,1491.24,aa_ww
0.48997384,0,1491.24,aa_ww
0.45893878,0,1491.24,aa_ww
0.5405908,0,1491.24,aa_ww
0.79492164,0,1491.24,aa_ww
0.1929325,0,1491.24,aa_ww
0.5698859,0,1491.24,aa_ww
0.93289346,1,2143.1800000000003,FM2_Lambda4
0.46469283,0,1491.24,aa_ww
0.4192579,0,1491.24,aa_ww
0.93957126,1,2143.1800000000003,FM2_Lambda4
0.28687218,0,1491.24,aa_ww
0.3081331,1,2143.1800000000003,FM2_Lambda4
0.568891,1,2143.1800000000003,FM2_Lambda4
0.29269585,0,1491.24,aa_ww
0.19952211,0,1491.24,aa_ww
0.35821638,1,2143.1800000000003,FM2_Lambda4
0.8161891,1,2143.1800000000003,FM2_Lambda4
0.9826383,1,2143.1800000000003,FM2_Lambda4
0.7914831,1,2143.1800000000003,FM2_Lambda4
0.19380394,0,1491.24,aa_ww
0.4060682,0,1491.24,aa_ww
0.8153432,0,1491.24,aa_ww
0.3416333,1,2143.1800000000003,FM2_Lambda4
0.3436794,1,2143.1800000000003,FM2_Lambda4
0.5008591,1,2143.1800000000003,FM2_Lambda4
0.40873313,1,2143.1800000000003,FM2_Lambda4
0.9486125,1,2143.1800000000003,FM2_Lambda4
0.31649646,0,1491.24,aa_ww
0.99238455,1,2143.1800000000003,FM2_Lambda4
0.92174596,1,2143.1800000000003,FM2_Lambda4
0.6261691,0,1491.24,aa_ww
0.40919018,0,1491.24,aa_ww
0.9907335,1,2143.1800000000003,FM2_Lambda4
0.57122904,0,1491.24,aa_ww
0.46888083,0,1491.24,aa_ww
0.41981158,0,1491.24,aa_ww
0.5179058,1,2143.1800000000003,FM2_Lambda4
0.60940516,1,2143.1800000000003,FM2_Lambda4
0.14546673,0,1491.24,aa_ww
0.9950853,1,2143.1800000000003,FM2_Lambda4
0.39839238,0,1491.24,aa_ww
0.94649947,1,2143.1800000000003,FM2_Lambda4
0.19780864,0,1491.24,aa_ww
0.39226726,0,1491.24,aa_ww
0.91676724,1,2143.1800000000003,FM2_Lambda4
0.15024772,0,1491.24,aa_ww
0.3254817,0,1491.24,aa_ww
0.20876387,0,1491.24,aa_ww
0.6227565,0,1491.24,aa_ww
0.59453887,0,1491.24,aa_ww
0.975695,1,2143.1800000000003,FM2_Lambda4
0.49872974,1,2143.1800000000003,FM2_Lambda4
0.9809848,1,2143.1800000000003,FM2_Lambda4
0.9593085,1,2143.1800000000003,FM2_Lambda4
