bin_left,bin_right,bin_center,differential_xsec_fb_per_GeV,bin_integral_fb
160.0,207.33333333333334,183.66666666666669,0.015666121846627006,0.7415297674070118
207.33333333333334,254.66666666666669,231.0,0.016331868821281972,0.7730417908740135
254.66666666666669,302.0,278.33333333333337,0.012269969558197397,0.5807785590880099
302.0,349.33333333333337,325.6666666666667,0.008595720432253665,0.4068641004600071
349.33333333333337,396.6666666666667,373.0,0.006017004302577572,0.28480487032200497
396.6666666666667,444.0,420.33333333333337,0.0047360734146338875,0.2241741416260039
444.0,491.33333333333337,467.6666666666667,0.003741666541098654,0.1771055496120031
491.33333333333337,538.6666666666667,515.0,0.0029663662668169507,0.14040800329600245
538.6666666666667,586.0,562.3333333333334,0.0023006192921620158,0.1088959798290019
586.0,633.3333333333334,609.6666666666667,0.001677008201978901,0.07937838822700138
633.3333333333334,680.6666666666667,657.0,0.001525319017880307,0.07219843351300126
680.6666666666667,728.0,704.3333333333334,0.00136520265688735,0.06461959242600113
728.0,775.3333333333334,751.6666666666667,0.0010112612273239605,0.047866364760000835
775.3333333333334,822.6666666666667,799.0,0.0008848535739084655,0.04188306916500073
822.6666666666667,870.0,846.3333333333334,0.0008090089818591703,0.03829309180800067
870.0,917.3333333333334,893.6666666666667,0.0005224849674507129,0.02473095512600043
917.3333333333334,964.6666666666667,941.0,0.000547766498133812,0.025927614245000452
964.6666666666667,1012.0,988.3333333333334,0.0003455142526690207,0.016354341293000285
1012.0,1059.3333333333335,1035.6666666666667,0.0003792229602464843,0.017949886785000313
1059.3333333333335,1106.6666666666667,1083.0,0.00030337836819718886,0.01435990942800025
1106.6666666666667,1154.0,1130.3333333333335,0.00021067942235915895,0.009972159325000174
1154.0,1201.3333333333335,1177.6666666666667,0.00014326200720422738,0.006781068341000118
1201.3333333333335,1248.6666666666667,1225.0,0.00020225224546479258,0.009573272952000167
1248.6666666666667,1296.0,1272.3333333333335,0.00020225224546479258,0.009573272952000167
1296.0,1343.3333333333335,1319.6666666666667,0.00012640765341549476,0.005983295595000104
1343.3333333333335,1390.6666666666667,1367.0,0.00014326200720422808,0.006781068341000118
1390.6666666666667,1438.0,1414.3333333333335,0.00014326200720422808,0.006781068341000118
1438.0,1485.3333333333335,1461.6666666666667,0.00011798047652112844,0.005584409222000097
1485.3333333333335,1532.6666666666667,1509.0,9.269894583802994e-05,0.0043877501030000765
1532.6666666666667,1580.0,1556.3333333333335,0.00011798047652112901,0.005584409222000097
1580.0,1627.3333333333335,1603.6666666666667,0.00011798047652112844,0.005584409222000097
1627.3333333333335,1674.6666666666667,1651.0,4.213588447183179e-05,0.0019944318650000348
1674.6666666666667,1722.0,1698.3333333333335,3.370870757746543e-05,0.0015955454920000278
1722.0,1769.3333333333335,1745.6666666666667,2.528153068309895e-05,0.0011966591190000209
1769.3333333333335,1816.6666666666667,1793.0,5.8990238260564506e-05,0.0027922046110000487
1816.6666666666667,1864.0,1840.3333333333335,5.8990238260564506e-05,0.0027922046110000487
1864.0,1911.3333333333335,1887.6666666666667,5.05630613661979e-05,0.0023933182380000417
1911.3333333333335,1958.6666666666667,1935.0,5.8990238260564506e-05,0.0027922046110000487
1958.6666666666667,2006.0,1982.3333333333335,8.427176894366357e-06,0.00039888637300000696
2006.0,2053.3333333333335,2029.6666666666667,3.370870757746527e-05,0.0015955454920000278
2053.3333333333335,2100.666666666667,2077.0,1.6854353788732636e-05,0.0007977727460000139
2100.666666666667,2148.0,2124.3333333333335,4.213588447183199e-05,0.0019944318650000348
2148.0,2195.3333333333335,2171.666666666667,4.2135884471831586e-05,0.0019944318650000348
2195.3333333333335,2242.666666666667,2219.0,8.427176894366318e-06,0.00039888637300000696
2242.666666666667,2290.0,2266.3333333333335,8.427176894366397e-06,0.00039888637300000696
2290.0,2337.3333333333335,2313.666666666667,1.6854353788732636e-05,0.0007977727460000139
2337.3333333333335,2384.666666666667,2361.0,8.427176894366318e-06,0.00039888637300000696
2384.666666666667,2432.0,2408.3333333333335,4.213588447183199e-05,0.0019944318650000348
2432.0,2479.3333333333335,2455.666666666667,0.0,0.0
2479.3333333333335,2526.666666666667,2503.0,1.6854353788732636e-05,0.0007977727460000139
2526.666666666667,2574.0,2550.3333333333335,1.6854353788732795e-05,0.0007977727460000139
2574.0,2621.3333333333335,2597.666666666667,8.427176894366318e-06,0.00039888637300000696
2621.3333333333335,2668.666666666667,2645.0,2.528153068309895e-05,0.0011966591190000209
2668.666666666667,2716.0,2692.3333333333335,8.427176894366397e-06,0.00039888637300000696
2716.0,2763.3333333333335,2739.666666666667,8.427176894366318e-06,0.00039888637300000696
2763.3333333333335,2810.666666666667,2787.0,0.0,0.0
2810.666666666667,2858.0,2834.3333333333335,8.427176894366397e-06,0.00039888637300000696
2858.0,2905.3333333333335,2881.666666666667,8.427176894366318e-06,0.00039888637300000696
2905.3333333333335,2952.666666666667,2929.0,0.0,0.0
2952.666666666667,3000.0,2976.3333333333335,0.0,0.0
