bin_left,bin_right,bin_center,differential_xsec_fb_per_GeV,bin_integral_fb
160.0,207.33333333333334,183.66666666666669,0.0029936167936816874,0.1416978615675999
207.33333333333334,254.66666666666669,231.0,0.0030626244255883383,0.14496422281118138
254.66666666666669,302.0,278.33333333333337,0.0023035404746109727,0.10903424913158599
302.0,349.33333333333337,325.6666666666667,0.0016989021759969635,0.08041470299718967
349.33333333333337,396.6666666666667,373.0,0.0013012867731046263,0.061594240593618954
396.6666666666667,444.0,420.33333333333337,0.0009463903804399909,0.04479581134082622
444.0,491.33333333333337,467.6666666666667,0.0007755143395272139,0.036707678737621485
491.33333333333337,538.6666666666667,515.0,0.0006029952597595074,0.028541775628616706
538.6666666666667,586.0,562.3333333333334,0.000451835685105899,0.021386889095012518
586.0,633.3333333333334,609.6666666666667,0.0003762558977790932,0.017809445828210424
633.3333333333334,680.6666666666667,657.0,0.0002990330715973579,0.014154232055608285
680.6666666666667,728.0,704.3333333333334,0.00022673936198041477,0.010732329800406282
728.0,775.3333333333334,751.6666666666667,0.00017909123518742862,0.008476985132204962
775.3333333333334,822.6666666666667,799.0,0.00017909123518742862,0.008476985132204962
822.6666666666667,870.0,846.3333333333334,0.0001528026135085404,0.007232657039404233
870.0,917.3333333333334,893.6666666666667,0.00012815703068458196,0.0060660994524035505
917.3333333333334,964.6666666666667,941.0,0.00011501271984513764,0.005443935406003186
964.6666666666667,1012.0,988.3333333333334,8.708105931131872e-05,0.0041218368074024125
1012.0,1059.3333333333335,1035.6666666666667,6.572155419722136e-05,0.003110820232001821
1059.3333333333335,1106.6666666666667,1083.0,7.229370961694384e-05,0.003421902255202003
1106.6666666666667,1154.0,1130.3333333333335,5.422028221270788e-05,0.002566426691401502
1154.0,1201.3333333333335,1177.6666666666667,2.957469938874961e-05,0.0013998691044008194
1201.3333333333335,1248.6666666666667,1225.0,3.9432932518333004e-05,0.0018664921392010925
1248.6666666666667,1296.0,1272.3333333333335,1.9716466259166502e-05,0.0009332460696005462
1296.0,1343.3333333333335,1319.6666666666667,3.9432932518332814e-05,0.0018664921392010925
1343.3333333333335,1390.6666666666667,1367.0,3.9432932518333004e-05,0.0018664921392010925
1390.6666666666667,1438.0,1414.3333333333335,2.3002543969027585e-05,0.0010887870812006373
1438.0,1485.3333333333335,1461.6666666666667,1.643038854930534e-05,0.0007777050580004552
1485.3333333333335,1532.6666666666667,1509.0,1.4787349694374876e-05,0.0006999345522004097
1532.6666666666667,1580.0,1556.3333333333335,1.6430388549305418e-05,0.0007777050580004552
1580.0,1627.3333333333335,1603.6666666666667,8.21519427465267e-06,0.0003888525290002276
1627.3333333333335,1674.6666666666667,1651.0,1.3144310839444335e-05,0.0006221640464003642
1674.6666666666667,1722.0,1698.3333333333335,8.215194274652709e-06,0.0003888525290002276
1722.0,1769.3333333333335,1745.6666666666667,6.572155419722136e-06,0.0003110820232001821
1769.3333333333335,1816.6666666666667,1793.0,1.6430388549305418e-06,7.777050580004552e-05
1816.6666666666667,1864.0,1840.3333333333335,8.215194274652709e-06,0.0003888525290002276
1864.0,1911.3333333333335,1887.6666666666667,4.929116564791602e-06,0.00023331151740013656
1911.3333333333335,1958.6666666666667,1935.0,6.572155419722167e-06,0.0003110820232001821
1958.6666666666667,2006.0,1982.3333333333335,4.9291165647916255e-06,0.00023331151740013656
2006.0,2053.3333333333335,2029.6666666666667,1.643038854930534e-06,7.777050580004552e-05
2053.3333333333335,2100.666666666667,2077.0,4.929116564791602e-06,0.00023331151740013656
2100.666666666667,2148.0,2124.3333333333335,9.858233129583298e-06,0.0004666230348002731
2148.0,2195.3333333333335,2171.666666666667,4.929116564791602e-06,0.00023331151740013656
2195.3333333333335,2242.666666666667,2219.0,1.643038854930534e-06,7.777050580004552e-05
2242.666666666667,2290.0,2266.3333333333335,4.929116564791649e-06,0.00023331151740013656
2290.0,2337.3333333333335,2313.666666666667,1.643038854930534e-06,7.777050580004552e-05
2337.3333333333335,2384.666666666667,2361.0,0.0,0.0
2384.666666666667,2432.0,2408.3333333333335,4.929116564791649e-06,0.00023331151740013656
2432.0,2479.3333333333335,2455.666666666667,3.286077709861068e-06,0.00015554101160009104
2479.3333333333335,2526.666666666667,2503.0,4.929116564791602e-06,0.00023331151740013656
2526.666666666667,2574.0,2550.3333333333335,3.2860777098610993e-06,0.00015554101160009104
2574.0,2621.3333333333335,2597.666666666667,1.643038854930534e-06,7.777050580004552e-05
2621.3333333333335,2668.666666666667,2645.0,1.643038854930534e-06,7.777050580004552e-05
2668.666666666667,2716.0,2692.3333333333335,1.6430388549305497e-06,7.777050580004552e-05
2716.0,2763.3333333333335,2739.666666666667,1.643038854930534e-06,7.777050580004552e-05
2763.3333333333335,2810.666666666667,2787.0,1.643038854930534e-06,7.777050580004552e-05
2810.666666666667,2858.0,2834.3333333333335,1.6430388549305497e-06,7.777050580004552e-05
2858.0,2905.3333333333335,2881.666666666667,0.0,0.0
2905.3333333333335,2952.666666666667,2929.0,0.0,0.0
2952.666666666667,3000.0,2976.3333333333335,1.6430388549305497e-06,7.777050580004552e-05
