bin_low,bin_high,center,dsig_dM_el_fb_per_GeV,dsig_dM_sd_fb_per_GeV,ratio_sd_over_el
160.0,207.33333333333334,183.66666666666669,17505.954929576517,17435.85633802724,0.9959957287773632
207.33333333333334,254.66666666666669,231.0,17613.43943661601,17903.18028168637,1.0164499867338816
254.66666666666669,302.0,278.33333333333337,12916.833802818117,13664.552112678133,1.0578871201158355
302.0,349.33333333333337,325.6666666666667,9580.140845078482,9393.211267613537,0.9804878048780488
349.33333333333337,396.6666666666667,373.0,7271.560563386408,7037.898591555225,0.967866323907455
396.6666666666667,444.0,420.33333333333337,5434.977464793311,5220.008450708623,0.9604471195184867
444.0,491.33333333333337,467.6666666666667,4327.419718313499,4061.0450704259515,0.9384449244060475
491.33333333333337,538.6666666666667,515.0,3266.5943661999313,3318.0000000027912,1.0157367668097281
538.6666666666667,586.0,562.3333333333334,2560.935211269766,2472.1436619739166,0.9653284671532847
586.0,633.3333333333334,609.6666666666667,2177.729577466621,1967.4338028185566,0.9034334763948498
633.3333333333334,680.6666666666667,657.0,1724.4253521141268,1668.346478874643,0.967479674796748
680.6666666666667,728.0,704.3333333333334,1322.526760564496,1406.645070423722,1.0636042402826855
728.0,775.3333333333334,751.6666666666667,1056.1521126769449,1102.8845070431814,1.0442477876106195
775.3333333333334,822.6666666666667,799.0,1093.538028169934,958.0140845078482,0.8760683760683761
822.6666666666667,870.0,846.3333333333334,799.1239436626362,864.5492957753772,1.0818713450292532
870.0,917.3333333333334,893.6666666666667,654.2535211273109,630.8873239441829,0.9642857142856992
917.3333333333334,964.6666666666667,941.0,621.5408450709455,556.1154929582143,0.8947368421052632
964.6666666666667,1012.0,988.3333333333334,486.01690140886075,439.2845070426241,0.9038461538461539
1012.0,1059.3333333333335,1035.6666666666667,369.18591549326743,397.22535211300925,1.0759493670886076
1059.3333333333335,1106.6666666666667,1083.0,406.5718309862585,327.12676056365626,0.8045977011494253
1106.6666666666667,1154.0,1130.3333333333335,345.8197183101509,275.721126760796,0.7972972972972973
1154.0,1201.3333333333335,1177.6666666666667,214.96901408468736,257.0281690143001,1.1956521739130435
1201.3333333333335,1248.6666666666667,1225.0,233.66197183118305,247.68169014105402,1.06
1248.6666666666667,1296.0,1272.3333333333335,172.90985915507545,261.701408450925,1.5135135135135136
1296.0,1343.3333333333335,1319.6666666666667,177.58309859169827,182.2563380283219,1.0263157894736843
1343.3333333333335,1390.6666666666667,1367.0,149.54366197195716,135.52394366208617,0.90625
1390.6666666666667,1438.0,1414.3333333333335,121.50422535221519,144.8704225353335,1.1923076923076923
1438.0,1485.3333333333335,1461.6666666666667,93.46478873247277,149.54366197195642,1.6
1485.3333333333335,1532.6666666666667,1509.0,70.09859154935492,130.8507042254625,1.8666666666666667
1532.6666666666667,1580.0,1556.3333333333335,65.42535211273125,135.52394366208617,2.0714285714285716
1580.0,1627.3333333333335,1603.6666666666667,37.385915492989106,98.13802816909642,2.625
1627.3333333333335,1674.6666666666667,1651.0,65.42535211273125,51.40563380286027,0.7857142857142857
1674.6666666666667,1722.0,1698.3333333333335,51.40563380286027,37.38591549298929,0.7272727272727273
1722.0,1769.3333333333335,1745.6666666666667,18.692957746494553,37.385915492989106,2.0
1769.3333333333335,1816.6666666666667,1793.0,9.346478873247323,42.05915492961295,4.5
1816.6666666666667,1864.0,1840.3333333333335,37.38591549298929,42.05915492961295,1.125
1864.0,1911.3333333333335,1887.6666666666667,60.7521126761073,32.71267605636547,0.5384615384615384
1911.3333333333335,1958.6666666666667,1935.0,28.039436619741966,42.05915492961295,1.5
1958.6666666666667,2006.0,1982.3333333333335,28.039436619741966,14.019718309870983,0.5
2006.0,2053.3333333333335,2029.6666666666667,9.346478873247277,37.385915492989106,4.0
2053.3333333333335,2100.666666666667,2077.0,18.692957746494553,18.692957746494553,1.0
2100.666666666667,2148.0,2124.3333333333335,46.73239436623683,23.366197183118416,0.5
2148.0,2195.3333333333335,2171.666666666667,23.366197183118192,42.059154929612745,1.8
2195.3333333333335,2242.666666666667,2219.0,9.346478873247277,14.019718309870916,1.5
2242.666666666667,2290.0,2266.3333333333335,23.366197183118416,14.01971830987105,0.6
2290.0,2337.3333333333335,2313.666666666667,4.673239436623638,9.346478873247277,2.0
2337.3333333333335,2384.666666666667,2361.0,4.673239436623638,18.692957746494553,4.0
2384.666666666667,2432.0,2408.3333333333335,23.366197183118416,23.366197183118416,1.0
2432.0,2479.3333333333335,2455.666666666667,23.366197183118192,0.0,0.0
2479.3333333333335,2526.666666666667,2503.0,23.366197183118192,14.019718309870916,0.6
2526.666666666667,2574.0,2550.3333333333335,9.346478873247367,23.366197183118416,2.5
2574.0,2621.3333333333335,2597.666666666667,18.692957746494553,4.673239436623638,0.25
2621.3333333333335,2668.666666666667,2645.0,9.346478873247277,28.03943661974183,3.0
2668.666666666667,2716.0,2692.3333333333335,4.673239436623684,14.01971830987105,3.0
2716.0,2763.3333333333335,2739.666666666667,9.346478873247277,9.346478873247277,1.0
2763.3333333333335,2810.666666666667,2787.0,14.019718309870916,4.673239436623638,0.3333333333333333
2810.666666666667,2858.0,2834.3333333333335,9.346478873247367,14.01971830987105,1.5
2858.0,2905.3333333333335,2881.666666666667,0.0,9.346478873247277,0.0
2905.3333333333335,2952.666666666667,2929.0,0.0,0.0,0.0
2952.666666666667,3000.0,2976.3333333333335,9.346478873247367,0.0,0.0
