bin_left,bin_right,bin_center,diff_xsec_fb_per_GeV,bin_integral_fb
160.000000,207.333333,183.666667,0.000000000e+00,0.000000000e+00
207.333333,254.666667,231.000000,0.000000000e+00,0.000000000e+00
254.666667,302.000000,278.333333,0.000000000e+00,0.000000000e+00
302.000000,349.333333,325.666667,0.000000000e+00,0.000000000e+00
349.333333,396.666667,373.000000,0.000000000e+00,0.000000000e+00
396.666667,444.000000,420.333333,0.000000000e+00,0.000000000e+00
444.000000,491.333333,467.666667,0.000000000e+00,0.000000000e+00
491.333333,538.666667,515.000000,0.000000000e+00,0.000000000e+00
538.666667,586.000000,562.333333,0.000000000e+00,0.000000000e+00
586.000000,633.333333,609.666667,0.000000000e+00,0.000000000e+00
633.333333,680.666667,657.000000,0.000000000e+00,0.000000000e+00
680.666667,728.000000,704.333333,0.000000000e+00,0.000000000e+00
728.000000,775.333333,751.666667,0.000000000e+00,0.000000000e+00
775.333333,822.666667,799.000000,0.000000000e+00,0.000000000e+00
822.666667,870.000000,846.333333,0.000000000e+00,0.000000000e+00
870.000000,917.333333,893.666667,0.000000000e+00,0.000000000e+00
917.333333,964.666667,941.000000,0.000000000e+00,0.000000000e+00
964.666667,1012.000000,988.333333,0.000000000e+00,0.000000000e+00
1012.000000,1059.333333,1035.666667,0.000000000e+00,0.000000000e+00
1059.333333,1106.666667,1083.000000,0.000000000e+00,0.000000000e+00
1106.666667,1154.000000,1130.333333,0.000000000e+00,0.000000000e+00
1154.000000,1201.333333,1177.666667,0.000000000e+00,0.000000000e+00
1201.333333,1248.666667,1225.000000,0.000000000e+00,0.000000000e+00
1248.666667,1296.000000,1272.333333,0.000000000e+00,0.000000000e+00
1296.000000,1343.333333,1319.666667,0.000000000e+00,0.000000000e+00
1343.333333,1390.666667,1367.000000,0.000000000e+00,0.000000000e+00
1390.666667,1438.000000,1414.333333,0.000000000e+00,0.000000000e+00
1438.000000,1485.333333,1461.666667,0.000000000e+00,0.000000000e+00
1485.333333,1532.666667,1509.000000,0.000000000e+00,0.000000000e+00
1532.666667,1580.000000,1556.333333,0.000000000e+00,0.000000000e+00
1580.000000,1627.333333,1603.666667,0.000000000e+00,0.000000000e+00
1627.333333,1674.666667,1651.000000,0.000000000e+00,0.000000000e+00
1674.666667,1722.000000,1698.333333,0.000000000e+00,0.000000000e+00
1722.000000,1769.333333,1745.666667,0.000000000e+00,0.000000000e+00
1769.333333,1816.666667,1793.000000,0.000000000e+00,0.000000000e+00
1816.666667,1864.000000,1840.333333,0.000000000e+00,0.000000000e+00
1864.000000,1911.333333,1887.666667,0.000000000e+00,0.000000000e+00
1911.333333,1958.666667,1935.000000,0.000000000e+00,0.000000000e+00
1958.666667,2006.000000,1982.333333,0.000000000e+00,0.000000000e+00
2006.000000,2053.333333,2029.666667,0.000000000e+00,0.000000000e+00
2053.333333,2100.666667,2077.000000,0.000000000e+00,0.000000000e+00
2100.666667,2148.000000,2124.333333,0.000000000e+00,0.000000000e+00
2148.000000,2195.333333,2171.666667,0.000000000e+00,0.000000000e+00
2195.333333,2242.666667,2219.000000,0.000000000e+00,0.000000000e+00
2242.666667,2290.000000,2266.333333,0.000000000e+00,0.000000000e+00
2290.000000,2337.333333,2313.666667,0.000000000e+00,0.000000000e+00
2337.333333,2384.666667,2361.000000,0.000000000e+00,0.000000000e+00
2384.666667,2432.000000,2408.333333,0.000000000e+00,0.000000000e+00
2432.000000,2479.333333,2455.666667,0.000000000e+00,0.000000000e+00
2479.333333,2526.666667,2503.000000,0.000000000e+00,0.000000000e+00
2526.666667,2574.000000,2550.333333,0.000000000e+00,0.000000000e+00
2574.000000,2621.333333,2597.666667,0.000000000e+00,0.000000000e+00
2621.333333,2668.666667,2645.000000,0.000000000e+00,0.000000000e+00
2668.666667,2716.000000,2692.333333,0.000000000e+00,0.000000000e+00
2716.000000,2763.333333,2739.666667,0.000000000e+00,0.000000000e+00
2763.333333,2810.666667,2787.000000,0.000000000e+00,0.000000000e+00
2810.666667,2858.000000,2834.333333,0.000000000e+00,0.000000000e+00
2858.000000,2905.333333,2881.666667,0.000000000e+00,0.000000000e+00
2905.333333,2952.666667,2929.000000,0.000000000e+00,0.000000000e+00
2952.666667,3000.000000,2976.333333,0.000000000e+00,0.000000000e+00
