bin_lower_edge,SM_events,EFT_events
0,0,0
3.33333,0,0
6.66667,0,0
10,7.17184,7.17802
13.3333,9.37023,9.43293
16.6667,11.0318,10.9965
20,12.3865,12.3561
23.3333,12.8477,13.1038
26.6667,13.082,13.1791
30,12.6925,12.7113
33.3333,12.0868,12.1754
36.6667,11.3717,11.3459
40,10.4535,10.5602
43.3333,9.55114,9.62849
46.6667,8.65331,8.71234
50,7.81476,7.80838
53.3333,6.96108,7.00996
56.6667,6.18038,6.31176
60,5.57283,5.6038
63.3333,4.90191,4.97056
66.6667,4.37756,4.40894
70,3.91596,3.89388
73.3333,3.43311,3.49301
76.6667,3.03959,3.09901
80,2.71619,2.71188
83.3333,2.46168,2.45357
86.6667,2.13849,2.16667
90,1.91464,1.96401
93.3333,1.6955,1.73497
96.6667,1.52297,1.56536
100,1.37823,1.4086
103.333,1.20079,1.25517
106.667,1.11739,1.13921
110,0.961615,1.03566
113.333,0.894563,0.956951
116.667,0.800937,0.836557
120,0.728162,0.755185
123.333,0.655386,0.705741
126.667,0.612048,0.631464
130,0.537229,0.584015
133.333,0.494299,0.521711
136.667,0.446668,0.499096
140,0.393722,0.444109
143.333,0.35018,0.414398
146.667,0.348953,0.360741
150,0.308068,0.360076
153.333,0.269023,0.323492
156.667,0.256349,0.280256
160,0.232431,0.312406
163.333,0.218326,0.271831
166.667,0.191137,0.235469
170,0.171104,0.214848
173.333,0.17049,0.21241
176.667,0.15291,0.206645
180,0.144528,0.179373
183.333,0.14412,0.165626
186.667,0.121837,0.176934
190,0.10303,0.15587
193.333,0.102008,0.158531
196.667,0.106097,0.147445
