bin_lower_edge,SM_events,EFT_events
0,0.963863,0.974246
3.33333,2.40935,2.49526
6.66667,3.61893,3.72892
10,4.61714,4.76347
13.3333,5.4747,5.60069
16.6667,6.18304,6.35854
20,6.79856,6.94455
23.3333,7.39323,7.58023
26.6667,7.98668,8.08642
30,8.42169,8.52432
33.3333,8.78393,8.95823
36.6667,9.0967,9.31764
40,9.37431,9.57395
43.3333,9.55462,9.73248
46.6667,9.63986,9.76574
50,9.63087,9.80654
53.3333,9.55094,9.72915
56.6667,9.4107,9.5857
60,9.14515,9.27352
63.3333,8.81664,8.91433
66.6667,8.39553,8.3731
70,7.67779,7.80173
73.3333,6.91304,7.09399
76.6667,5.82447,6.0009
80,4.54048,4.65749
83.3333,3.58664,3.68457
86.6667,2.86461,2.98659
90,2.31573,2.51322
93.3333,1.93611,2.0609
96.6667,1.66034,1.74983
100,1.40706,1.50283
103.333,1.2102,1.2984
106.667,1.03316,1.12812
110,0.89947,1.00041
113.333,0.758008,0.87824
116.667,0.668878,0.775805
120,0.620225,0.711062
123.333,0.535593,0.630133
126.667,0.453823,0.559848
130,0.41764,0.508186
133.333,0.363263,0.438566
136.667,0.317881,0.427923
140,0.278427,0.378923
143.333,0.239382,0.346773
146.667,0.237542,0.315732
150,0.210149,0.300655
153.333,0.173966,0.260967
156.667,0.164358,0.261632
160,0.146982,0.230591
163.333,0.132058,0.234138
166.667,0.122655,0.204871
170,0.104257,0.205093
173.333,0.0971018,0.184694
176.667,0.0919912,0.184694
180,0.0866762,0.155205
183.333,0.072162,0.16607
186.667,0.0697089,0.161192
190,0.0621452,0.150549
193.333,0.0598965,0.144563
196.667,0.0549903,0.143676
