FM3 Value (e-12)	Cross-section (pb) ± Uncertainty
-1000.0e-12	0.042931000000000004
-800.0e-12	0.0300565
-600.0e-12	0.020289099999999997
-400.0e-12	0.0137055
-200.0e-12	0.010253100000000001
-100.0e-12	0.0097
-80.0e-12	0.0096896
-60.0e-12	0.0097072
-40.0e-12	0.009756299999999999
-20.0e-12	0.009833100000000001
-10.0e-12	0.009878
0.0	        0.009940399999999999
10.0e-12	0.0100141
20.0e-12	0.0100757
40.0e-12	0.0102564
60.0e-12	0.010455200000000001
80.0e-12	0.0107007
100.0e-12	0.010966
200.0e-12	0.0127583
400.0e-12	0.018740399999999997
600.0e-12	0.0278705
800.0e-12	0.040136
1000.0e-12	0.055541
