FM2 Value (e-12)	Cross-section (pb) ± Uncertainty
-1000.0e-12	0.54013
-800.0e-12	0.3516
-600.0e-12	0.203
-400.0e-12	0.09702
-200.0e-12	0.03262
-100.0e-12	0.01603
-80.0e-12	0.01398
-60.0e-12	0.01236
-40.0e-12	0.01112
-20.0e-12	0.01032
-10.0e-12	0.0100908
0.0	        0.009943
10.0e-12	0.00989645
20.0e-12	0.009979
40.0e-12	0.01042
60.0e-12	0.01129
80.0e-12	0.01258
100.0e-12	0.01428
200.0e-12	0.02905
400.0e-12	0.09003
600.0e-12	0.1926
800.0e-12	0.3367
1000.0e-12	0.5239
