bin_lower_edge,SM_events,EFT_events
0,177.787,176.721
20,393.469,389.86
40,253.281,252.843
60,115.044,114.528
80,49.1549,48.9025
100,20.979,21.4617
120,9.63385,9.84749
140,4.42275,4.70303
160,2.01866,2.38941
180,2.04024,2.92301
