bin_lower_edge,SM_events,EFT_events
0,229.93,228.198
10,780.958,786.356
20,1248,1252.94
30,1539.33,1543.3
40,1733.78,1737.86
50,1435.7,1428.55
60,1052.61,1058.1
70,756.775,758.47
80,542.992,541.234
90,387.28,390.765
100,276.322,277.714
110,204.544,203.883
120,149.412,151.692
130,112.118,113.411
140,84.2163,86.6171
150,310.275,359.494
