bin_lower_edge,SM_events,EFT_events
0,122.312,120.889
10,378.144,376.372
20,502.515,498.53
30,368.468,366.726
40,112.24,111.588
50,34.0365,34.197
60,12.8606,13.2938
70,5.38489,5.9162
80,2.52065,2.88288
90,1.18329,1.70394
100,0.565452,0.96403
110,0.265007,0.633988
120,0.130963,0.431357
130,0.0724148,0.320832
140,0.0169481,0.214911
150,0.0246518,0.416007
