bin_lower_edge,SM_events,EFT_events
0,297.826,295.894
10,931.227,933.571
20,1290.39,1301.16
30,1222.91,1221.32
40,971.437,970.236
50,712.596,712.972
60,503.834,505.825
70,353.858,356.612
80,250.86,251.477
90,178.225,179.392
100,127.344,129.385
110,92.3928,95.1008
120,68.362,68.8526
130,50.5233,52.5402
140,37.5536,38.5426
150,141.908,170.21
