FM3 Value (e-12)	Cross-section (pb) ± Uncertainty
-1000.0e-12	0.0721026
-800.0e-12	0.050012799999999996
-600.0e-12	0.0332808
-400.0e-12	0.0219347
-200.0e-12	0.0159842
-100.0e-12	0.0150131
-80.0e-12	0.014993099999999999
-60.0e-12	0.0150124
-40.0e-12	0.015092
-20.0e-12	0.0152068
-10.0e-12	0.0152896
0.0         0.0154074
10.0e-12	0.015515399999999999
20.0e-12	0.0156568
40.0e-12	0.0159297
60.0e-12	0.0162916
80.0e-12	0.0166679
100.0e-12	0.0171205
200.0e-12	0.0202068
400.0e-12	0.030372500000000004
600.0e-12	0.045947400000000006
800.0e-12	0.0668734
1000.0e-12	0.0933294
