FM0 Value (e-12)	Cross-section (pb) ± Uncertainty
-1000.0e-12	0.038439799999999996
-800.0e-12	0.030476200000000002
-600.0e-12	0.02422
-400.0e-12	0.0196453
-200.0e-12	0.016682
-100.0e-12	0.0158426
-80.0e-12	0.0157138
-60.0e-12	0.015610400000000002
-40.0e-12	0.015536399999999999
-20.0e-12	0.0154549
-10.0e-12	0.0154252
0.0         0.0154074
10.0e-12	0.0153837
20.0e-12	0.015374699999999998
40.0e-12	0.0153349
60.0e-12	0.0153521
80.0e-12	0.0153668
100.0e-12	0.0153854
200.0e-12	0.0157777
400.0e-12	0.0178209
600.0e-12	0.0215241
800.0e-12	0.0268916
1000.0e-12	0.0339273
