FM2 Value (e-12)	Cross-section (pb) ± Uncertainty
-1000.0e-12	0.81161
-800.0e-12	0.526538
-600.0e-12	0.30471299999999996
-400.0e-12	0.14564000000000002
-200.0e-12	0.0488596
-100.0e-12	0.0240697
-80.0e-12	0.0210017
-60.0e-12	0.0185151
-40.0e-12	0.0166835
-20.0e-12	0.0154947
-10.0e-12	0.015112900000000002
0.0         0.0149219
10.0e-12	0.0148627
20.0e-12	0.0149679
40.0e-12	0.0156267
60.0e-12	0.0169262
80.0e-12	0.018861799999999998
100.0e-12	0.021422700000000003
200.0e-12	0.0435739
400.0e-12	0.135028
600.0e-12	0.289122
800.0e-12	0.505919
1000.0e-12	0.78477
